Class,Drug,Alternate Names,"Not Advised With (Class of Drug, put SINGULAR!)","Not Advised With (Specific Drug, no need to list drugs if they belong to a class that's in the previous column)",Classification of Risk,Mechanism,Adverse Effect,,,,
Biguanide,Metformin,"Glucophage, Fortamet, Glutetza, Riomet",,,,,,,,,
Thiazolidinediones (TZD),pioglitazone,Actos,,,,,,,,,"Classification of Risk: Mild, Moderate, Severe"
Thiazolidinediones (TZD),rosiglitazone,Avandia,,,,,,,,,
GLP1 mimetics,albiglutide,,Meglitinides,glipizide ,Moderate,GLP 1 receptor agonists stimulate insulin secretion and lower glucagon secretion,hypoglycemia risks,,,,
GLP1 mimetics,dulaglutide,,Meglitinides,repaglinide,Moderate,GLP 1 receptor agonists stimulate insulin secretion and lower glucagon secretion,hypoglycemia risks,,,,
GLP1 mimetics,exenatide,,Meglitinides,glipizide ,Moderate,GLP 1 receptor agonists stimulate insulin secretion and lower glucagon secretion,hypoglycemia risks,,,,
GLP1 mimetics,liraglutide,victoza ,Meglitinides,repaglinide,Moderate,GLP 1 receptor agonists stimulate insulin secretion and lower glucagon secretion,hypoglycemia risks,,,,
GLP1 mimetics,lixisenatide,"soliqua, insulin glargine",Meglitinides,glipizide ,Moderate,GLP 1 receptor agonists stimulate insulin secretion and lower glucagon secretion,hypoglycemia risks,,,,
GLP1 mimetics,semaglutide,ozempic ,Meglitinides,repaglinide,Moderate,GLP 1 receptor agonists stimulate insulin secretion and lower glucagon secretion,hypoglycemia risks,,,,
DPP4,alogliptin,"Nesina, Vipidia",Meglitinides,,Moderate,,,,,,
DPP4,linagliptin,,Meglitinides,,Moderate,,,,,,
DPP4,saxagliptin,,Meglitinides,,Moderate,,,,,,
DPP4,sitagliptin,,Meglitinides,,Moderate,,,,,,
Alpha-glucosidase inhibitor,acarbose,,,,,,,,,,
Alpha-glucosidase inhibitor,miglitol,,,,,,,,,,
Meglitinides,nateglinide,,DPP4,,,,,,,,
Meglitinides,repaglinide,,DPP4,,,,,,,,
Sulfonylureas,chlorpropamide,,,Fluconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,chlorpropamide,,,Miconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glimepiride,,,Fluconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glimepiride,,,Miconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glipizide,,,Fluconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glipizide,,,Miconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glyburide,,,Fluconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glyburide,,,Miconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,tolbutamide,,,Fluconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,tolbutamide,,,Miconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,tolazamide,,,Fluconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,tolazamide,,,Miconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,gliclazide,,,Fluconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,gliclazide,,,Miconazole,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
SGLT2 inhibitors,canagliflozin,,Insulin,,,,,,,,
SGLT2 inhibitors,dapagliflozin,,Insulin,,,,,,,,
SGLT2 inhibitors,empagliflozin,,Insulin,,,,,,,,
SGLT2 inhibitors,ertugliflozin,,Insulin,,,,,,,,
Sulfonylureas,chlorpropamide,,Fibrates,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,chlorpropamide,,H2-antagonoists,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glimepiride,,Fibrates,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glimepiride,,H2-antagonoists,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glipizide,,Fibrates,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glipizide,,H2-antagonoists,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glyburide,,Fibrates,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,glyburide,,H2-antagonoists,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,tolbutamide,,Fibrates,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,tolbutamide,,H2-antagonoists,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,tolazamide,,Fibrates,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,tolazamide,,H2-antagonoists,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,gliclazide,,Fibrates,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
Sulfonylureas,gliclazide,,H2-antagonoists,,Moderate,Inhibition of CYP2C9,Elevated risk of hypoglycemia,,,,
SGLT2 inhibitors,canagliflozin,Invokana,Sulfonylureas,,Moderate,Reduces the SGLT 2 protein in the kidney to increase urinary glucose release and lower glucose levels in the blood,Can result to hypoglycemia,,,,
SGLT2 inhibitors,dapagliflozin,,Sulfonylureas,,Moderate,,,,,,
SGLT2 inhibitors,empagliflozin,,Sulfonylureas,,Moderate,,,,,,
SGLT2 inhibitors,ertugliflozin,,Sulfonylureas,,Moderate,,,,,,
Meglitinides,nateglinide,,GLP1 mimetics,,Moderate,,,,,,
Meglitinides,repaglinide,,GLP1 mimetics,,Moderate,,,,,,
Biguanide,Metformin,,,Cimetidine,Mild,Inhibition of renal excretion,plasma values and adverse event rate increase,,,,
Biguanide,Metformin,,,cephalexin,Mild,Inhibition of renal excretion,plasma values and adverse event rate increase,,,,
